date,number_days,region,number_blackout_consumers,number_blackout_settlements,number_restored_consumers,number_restored_settlements,notes,link
2022-02-24,1,Донецька,,43,,,,https://www.dtek-dem.com.ua/ua/news/2-rayoni-mariupolya-zalishilisya-bez-elektropostachannya-cherez-boyovi-diji
2022-02-25,1,Луганська,36136,,,,,https://www.facebook.com/tovleo/posts/pfbid021eM26AUbXJ3TC6NYhzSWmAWnNiVnfrnZ2AoginimYM6xDWPePpiRS31VjWp1ogkfl?__cft__[0]=AZVFbCwa-i2mJ_6iXcuop0P9aezIQR1UP-MC8pLcBe5RyowCrLP5k2NPj-svQ56jVHPJwzqX3twX1JuAA9yUzgxGx_RevFOjJ7JMrXCAP0D9CklWsXUivxsKcHNit3yjakW56EK7e4HVdC9DErvWA5q0DzHmxyMTHw1rsCttgelLeg&__tn__=%2CO%2CP-R
2022-02-26,1,Київська,,30,,,,https://www.dtek-krem.com.ua/ua/news/vidnovlennya-elektropostachannya-pislya-boyovih-diy
2022-02-26,1,Луганська,20114,24,,,,https://www.facebook.com/tovleo/posts/pfbid02wMTNeJBABHGhq5fKf1aWc8sD7gztmoYWkRbJKERmqzdGht8SLJgrJ7Y5jdz4DEb8l?__cft__[0]=AZXAwyBcm2df1XIoN-NF7TVTCsolg1WUJbYI5U8UHG4GKbRm3dnHzGkSnZ5Zx_oEyKaW4KsgvOzVXws4iBOzsaLWxnhScYIhSR9z4lftUPMUeVr6acO7pIkx2GQVX1M1RFq2__MHVeGhKZxA9lqBmZ29UDMpwvyDbM27wN1zIs_KSHXYcXjJEkiNb6naj5kR5d8&__tn__=%2CO%2CP-R
2022-02-27,1,Луганська,,,2300,,,https://www.facebook.com/tovleo/posts/pfbid0AveHQLTttUE8HeudVbwmL1qqPvsamBEwJPdWTAT5ChK1ZDdgxAqcfuSFvUURVnrKl?__cft__[0]=AZVrhBXh2jzdzHmTJQpQZQzoB_mT96naH4USXbIQPoAY-j_lVljd3fWlxatoHLg4WBjCVIZRjK09hDTdcRgaFYRb6xXD_V66WkrfH0nPlqWdgbUIi1pa09so_ivmS4zte8VOnDOP3dvH2JvCuIa34SbcLQOdIPlWycZlrDhmAVl7Ndlqr1O8VZxGPac_oiAxS7g&__tn__=%2CO%2CP-R
2022-02-27,1,Луганська,17515,,,,,https://www.facebook.com/tovleo/posts/pfbid033TQSsuddBdM8VqftpwhBxBb5b1Fm7ENJssgSo1dY1Cpox1Cs2y6uHoJT3gtfENSPl?__cft__[0]=AZXPB_IsCNoAqeGKrUK46Jn-9cKcqumKqNVBvI2DXMiYGSJzfR-HRJslvIdNSrosST3XQwyd1TrbBeData_XJfHtZg1evu0S40n8fQx6N-frmccEi7RWNpWdkiw7OqCMwBwjQtMVIshFLT4lOcbXgYKoOTTZPCIzNaWyfAkSv3uqux-t30hZKtzsxEi5yyjoSic&__tn__=%2CO%2CP-R
2022-02-28,1,Донецька,,80,,,,https://www.dtek-dem.com.ua/ua/news/idnovlennya-elektropostachannya-pislya-boyovih-diy-u-doneckiy-oblasti
2022-02-28,1,Луганська,,,981,,,https://www.facebook.com/tovleo/posts/pfbid0AveHQLTttUE8HeudVbwmL1qqPvsamBEwJPdWTAT5ChK1ZDdgxAqcfuSFvUURVnrKl?__cft__[0]=AZVrhBXh2jzdzHmTJQpQZQzoB_mT96naH4USXbIQPoAY-j_lVljd3fWlxatoHLg4WBjCVIZRjK09hDTdcRgaFYRb6xXD_V66WkrfH0nPlqWdgbUIi1pa09so_ivmS4zte8VOnDOP3dvH2JvCuIa34SbcLQOdIPlWycZlrDhmAVl7Ndlqr1O8VZxGPac_oiAxS7g&__tn__=%2CO%2CP-R
2022-03-01,1,Донецька,,,,,,https://www.dtek-dem.com.ua/ua/news/dtek-doneckie-elektroseti-vozobnovil-elektrosnabzhenie-2-rayonov-mariupolya-raboty-prodolzhayutsya
2022-03-01,1,Луганська,28860,23,,,,https://www.facebook.com/tovleo/posts/pfbid02gVMJnSJFdEH8Q3kQkWHeEAJ7YMXF44t91GmHkaJi2LjVTviHApWRydxqcB2898Dml?__cft__[0]=AZX4chR-w_j5WX9RYfMZYlFbKwTTyc3OY7nvPk1lY-98SFbkfl5U7oXaHJzkPmvM4g_PbaKOFZTqlVxsx_IsodA4Pb5gGp9dzwKC7W6_7TbKlo5EUnD0kXvUb9cl0xxioZXZzRNLD3Jf6BXSgUYN4CU70UR-A1pAWrk6AqYBVaxfKmHnZPCNPYXvdbFtgvO3fuQ&__tn__=%2CO%2CP-R
2022-03-01,1,Одеська,,,,2,,https://www.dtek-oem.com.ua/ua/news/dtek-odesskie-elektroseti-vernul-elektrosnabzhenie-v-dve-derevni-odesskogo-bilyaevskogo-rayona-postradavshie-iz-za-obstrelov
2022-03-02,1,Київська,,,10000,,,https://www.dtek-krem.com.ua/ua/news/dtek-kijivski-regionalni-elektromerezhi-vidnoviv-elektropostachannya-dlya-10-tis-kliyentiv-v-kijivskiy-oblasti-shcho-lishilisya-bez-svitla-cherez-boyovi-diji
2022-03-02,1,Луганська,29349,24,5000,,,https://www.facebook.com/tovleo/posts/pfbid02YEnuLM3qWcj8AW4PcwUZgTBJ8rQRTBREdGifBtKGzykABzuM5jNUiNc2N9oF64q3l?__cft__[0]=AZUziY4yubRj3U1NvVGta3GE79fyUpyOya5MKdJqZgJ5pNZDgATUlvBu0Z6irak2ozKiiOJhZBl4L5WaDL3V-m6Xc-9pWX5odu5PmVk-96Hk-ZTzrwj9KwP2Zop4egeOJb7T6SKVLGUn7JjaI6rco-7Xzodwv5rW0-bF5bTVloMPwAbIcK6hC88Sop0RJi_O40A&__tn__=%2CO%2CP-R
2022-03-03,1,Київська,,,15000,,,https://www.dtek-krem.com.ua/ua/news/dtek-kijivski-regionalni-elektromerezhi-vidnoviv-elektropostachannya-dlya-15-tisyach-kliyentiv-u-gostomeli-chastini-buchi-bishevi-gorenichah-kijivskiy-oblasti-shcho-buli-znestrumleni-cherez-boyovi-diji
2022-03-03,1,Луганська,50905,28,,,,https://www.facebook.com/tovleo/posts/pfbid0CnYV3onKxXuCQg8tPvQs4yKZYVK7xEtHFeyhUakEYfT3LnbphJivDCt3npGtkXPUl?__cft__[0]=AZWY6tKM9UJIkPy4vrVpQjbIZNw-Ql-oULb6bYDhG2VBc6hA0OCewrY0rcJAONmcKimZcwdem697mjG2iX7YoqhF6Jg05oCrIk3p5cg4yhZou7lsMlNAue4gercDoKa4ffPOTQPsCQ8Xf_e3plTFXL0SXu6-bgYOvJ6dlecRs8JbFP1DBQ5ASx2vH3pb9Qc1Auk&__tn__=%2CO%2CP-R
2022-03-03,1,Сумська,,36,,,,https://www.soe.com.ua/press-center/list-news/1334-operat-info-spogivagam
2022-03-04,1,Київська,,,3000,,,https://www.dtek-krem.com.ua/ua/news/dtek-kijivski-regionalni-elektromerezhi-povernuli-svitlo-shche-v-8-sil-makarivskogo-rayonu
2022-03-04,1,Київська,,350,22000,,,https://www.dtek-krem.com.ua/ua/news/dtek-kijivski-regionalni-elektromerezhi-vidnoviv-elektropostachannya-dlya-22-tisyach-rodin-u-23-naselenih-punktah-kijivskoji-oblasti-shcho-buli-znestrumleni-cherez-boyovi-diji
2022-03-04,1,Луганська,56968,31,,,,https://www.facebook.com/tovleo/posts/pfbid07PL3AZChPg4e95MYrrAp9etPQBCAc3qWCLiD1JFgV6KWrrg4Qix7XnQckRCrGt7yl?__cft__[0]=AZVuu0FdXELRNLa6clyaKe6J1O6hAAT1YjoGUFEFH1rvfZkwOekZG98Ut_Ayc6syzM3eg3ItQT5uh1IGiocZcW4pQhP4mDuc2ZATQBzwuMicEDNlz3OD4agPYboAOj3TLaVknpBexRC37Xn1Ietz1dKEXtfSNJsSQIaqXVTIXv9m7IxvndlfPHUnJCF2L7c_DG4&__tn__=%2CO%2CP-R
2022-03-05,1,Київська,,350,5000,,,https://www.dtek-krem.com.ua/ua/news/dtek-kijivski-regionalni-elektromerezhi-povernuli-svitlo-v-19-naselenih-punktiv-znestrumlenih-cherez-boyovi-diji
2022-03-05,1,Київська,,360,1000,,,https://www.dtek-krem.com.ua/ua/news/dtek-kijivski-regionalni-elektromerezhi-povernuli-svitlo-shche-v-11-naselenih-punktiv-znestrumlenih-cherez-boyovi-diji
